Palabra;Frecuencia
hundir;25
arruinar;23
destruir;21
violencia;21
violencio:1
ridiculo;21
gobiernodimision;4
perpetuo;7
bolivarián;4
abandonado;4
absurdo;13
acabado;4
ácido;18
acomplejado;7
acusado;3
adoctrinado;6
africo;3
agradecido;4
agredido;4
agresivo;3
aguantar;16
almeido;7
amargado;5
amarillista;4
amarillo;3
americano;3
amiguete;10
amoral;5
amoroso;5
amparado;3
analfabeto;6
anarquista;4
anciano;16
animal;14
anormal;5
anti;6
antiespañol;3
antiguo;6
apesebrado;6
apesta;5
aprovechado;6
arcaico;3
arrogante;22
arruinado;6
artificial;3
ascazo;14
asco;234
asesinar;31
asesinato;11
asesino;89
asesino;10
asqueroso;78
asqueroso;10
atacar;18
autentico;3
autista;4
bajo;8
bananero;6
bancario;3
banderitas;3
bastardo;14
basura;157
bazterrico;3
bicho;10
blanco;8
blanquear;24
bobo;10
bolivariano;5
borracho;15
borrego;23
boyero;3
bravo;4
brutal;4
bruto;4
burdo;4
burro;3
cabrón;27
cachondo;3
cagado;4
cagar;21
calaña;14
calladito;3
callado;4
callar;21
callejero;3
canalla;16
canallo;3
cansino;3
capitalista;4
caradura;33
carajo;12
cargado;3
caspós;3
casposo;6
casta;11
catalanista;4
catastrófico;4
centrado;3
cerdo;8
chavista;6
chiringuito;4
chismoso;4
chorizo;12
chorrada;7
chorrado;5
chulo;4
chupar;17
chusma;28
ciego;6
cinico;4
cínico;9
cloaca;16
cobard;33
cobarde;40
cochino;4
cojón;63
colaboracionista;4
coleta;30
colocado;5
colorado;3
complejo;4
cómpliz;4
comprado;6
compulsivo;21
comunismo;14
comunista;98
condenado;4
condenar;11
consciente;3
conservador;3
contagiado;5
contagio;21
contagiós;3
contundente;4
convencido;5
coño;39
corriente;3
corrupto;66
corrupto;10
corto;7
cotizado;4
covidiano;3
covidiota;3
cretino;10
criminal;36
criminal;3
crítico;5
cuadrado;5
culo;121
culpable;6
culpar;10
curioso;6
cutre;6
dañino;4
daño;19
débil;3
degenerado;4
delictivo;4
delincuente;51
delito;29
demagógico;3
demagogo;6
demencial;3
demente;3
denigrant;4
denigrante;3
deplorable;3
depravado;3
derecha;63
derechito;3
desagradable;3
desagradecido;3
desalmado;4
desaparecido;4
desastre;14
desastroso;3
desbordado;4
descarado;5
descerebrado;17
desequilibrado;4
desfachatez;3
desgobierno;22
desgracia;12
desgraciado;30
desleal;3
despedido;3
despreciabl;5
despreciable;7
destrozado;4
diabólico;4
dictador;27
dictadura;33
dictatorial;4
difícil;13
discapacitado;3
disfrazado;6
distinguido;3
dormido;3
egocéntrico;5
egoísta;6
embustero;16
encerrado;6
enchufado;4
enemigo;12
enemigo;5
enfermo;45
enorme;4
envidia;36
envidio;4
envidiós;3
envidioso;24
equivocado;3
escondido;4
escoria;31
escorio;33
escrúpulo;20
estupidez;70
estupido;19
estúpido;25
etarra;21
extremista;3
extremo;37
facha;100
facista;11
fallido;4
falsante;4
FALSO;9
fanático;5
farsant;4
fascismo;26
fascista;100
feminazi;17
feminista;23
feo;28
feroz;3
financiado;3
firme;4
flojo;4
follado;4
forzado;4
forzoso;3
fracasado;13
franquista;17
fraude;18
fraudulento;4
fresco;4
frustrado;5
fuerte;8
fugado;3
futuro;6
gandul;3
gay;19
genocida;5
genocido;7
gentuza;120
gentuzar;55
gentuzo;20
gilipol;85
gilipolla;84
gilipollez;61
girauto;3
globalista;5
gobiernocriminal;3
gobiernodeinutil;8
gobiernosocialcomunista;3
golfo;35
golpista;46
gordo;14
grandísimo;4
grave;10
grotesco;6
guerra;17
harto;8
hdgp;3
hdlgp;89
hdp;99
hijodeputo;4
hipocrita;12
hipócrita;9
histérico;4
homicida;6
homofobio;3
hp;36
hundido;3
ideal;3
idiota;140
idiotez;20
ignorancio;3
ignorante;48
ilegal;32
imbecil;9
imbécil;66
imbecilidad;15
imperdonable;3
imprescindible;3
impresentabl;20
impresentable;31
imputado;5
inaceptable;5
inaguantable;3
incapaz;14
incómodo;3
incompetent;17
incompetent;7
incompetente;24
inconsciente;3
inculto;4
incurable;3
indecent;5
indecente;14
indep;6
independentist;3
independentista;16
independentista;7
independiente;5
indeseable;6
indignante;3
indigno;4
ineficaz;3
inepto;55
infame;4
infantil;5
infectado;4
infecto;5
infernal;3
infiltrado;4
injusto;3
inmoral;6
innecesario;3
inservible;3
insolidario;3
insoportable;6
instalado;3
insufrible;3
insultar;16
interesado;5
intocable;4
intolerante;3
inutil;60
inútil;115
inutilidad;13
inventado;5
involucionista;3
irracional;3
irregular;4
irrespetuoso;3
irresponsable;17
izquierdista;3
izquierdo;6
izquierdoso;4
jeta;60
jeto;16
joder;51
jodido;12
jodido;7
jodir;29
joker;15
ladrón;51
lameculo;16
lameculo;5
lamenazi;3
lamentable;14
lamentable;8
lastimo;4
lazi;3
lento;3
lerdo;4
liberal;5
loca;18
loco;47
logico;3
machista;10
macho;5
maduro;5
mafia;29
mafioso;21
mal;99
mala;5
maldito;63
malnacido;17
malo;56
malparido;3
malvado;3
mamar;12
mamarracho;18
mamporrero;3
manado;5
manchada;3
manipulado;6
manipulador;34
manipuladoro;5
manipular;13
marginal;5
marico;4
mariconada;3
masivo;6
mediocre;17
mena;15
mentí;3
mentirós;19
mentirós;8
mentiroso;180
mentirosos;17
menudo;10
mercenario;4
merecido;5
merez;3
metido;4
mezquino;5
miedo;29
miente;15
mierda;344
mierdar;33
mierdo;79
mierdo;10
mínimo;12
miserabl;22
miserable;136
miserablemente;3
miseria;25
mísero;3
mongolo;3
moño;10
morir;58
moro;18
mortal;3
mostrar;11
muerte;38
muerto;69
multimillonario;5
nacionalista;5
narcisista;4
nazi;31
nefasto;11
negacionista;17
negativo;5
negligent;4
negro;37
neoliberal;3
niñato;13
nocivo;3
nulo;5
ñordo;3
obligar;12
ocultar;13
odiar;11
odio;33
okupa;17
oportunista;5
ordinario;4
oscuro;5
óseo;3
pacotilla;15
pagado;15
pájaro;4
paleto;19
palmero;4
palo;14
panda;72
pandilla;24
panfleto;252
parasita;3
parásito;30
partidista;4
partir;12
pasivo;3
patado;5
patetico;7
payás;4
payasada;3
payasado;4
payaso;88
pedazo;4
pedofilo;3
pegar;18
peligroso;23
pelota;14
pena;59
peor;100
pepero;5
pequeño;10
perdido;5
perra;13
perro;31
perroflauta;11
pervertido;3
pesado;6
pésimo;5
pinchado;3
piojo;11
pobre;65
podemita;28
podemito;5
podrido;12
politizado;4
polla;23
populista;4
poquito;5
pordiosero;3
preocupante;4
prepotente;6
preso;10
prestado;3
progr;5
progre;6
prohibido;4
propagandístico;6
prostituido;4
provinciano;4
psicópata;52
psicópato;4
pudrar;18
pueblerino;3
puñetero;13
puta;297
putar;16
putero;6
putisimo;3
puto;164
quebrado;4
rabioso;3
racismo;17
racista;46
radiactivo;3
radical;11
rancio;5
raro;5
rastrero;5
rata;58
reaccionario;12
redomado;4
régimen;18
renegado;4
repugnant;5
repugnante;12
repugnante;5
resentido;17
retirado;3
retorcido;3
retrasado;18
ridiculo;3
ridículo;9
riesgo;14
robado;12
robo;15
rojo;37
roto;3
ruin;6
sabandija;3
saco;4
sádico;3
salido;3
salio;3
sanchista;3
saqueador;3
secesionista;4
sectario;23
sectario;7
secuaz;5
separatista;16
sero;6
servil;4
simple;7
sinverguenza;38
sinvergüenza;155
sinvergüenzo;5
soberbio;4
socialcomunista;12
social-comunista;5
socialisto;3
sociocomunista;3
sometido;4
subnormal;46
sucio;15
suelto;6
sulfúrico;4
sumiso;3
supremacista;14
tapado;3
tarado;8
tendencioso;4
tercermundista;7
terrible;6
terrorismo;70
terrorista;102
tipejo;3
típico;8
tirano;5
tontería;17
tonto;142
torpe;3
totalitario;6
tóxico;4
tragadera;3
traidor;41
traidoro;6
tramposo;5
trasero;3
tremendo;6
triste;16
triste;8
trumpista;4
ultra;14
ultraderecha;11
ultraderechista;4
untado;4
usado;3
utilizado;3
vacuno;4
vago;45
vasta;3
veleto;3
vendido;15
veneno;3
vengativo;5
vera;3
verde;5
vergo;4
vergonzoso;22
verguenza;31
vergüenza;162
vergüenzo;3
viejo;22
violento;5
virus;47
vividor;15
vomitivo;23
vomitivo;9
vulgar;14
vulgar;7
vulgaridad;25
xenófobo;6
zumbado;3
FALSO;38
