Palabra;Frecuencia
primero;40853
nuevo;39932
último;28815
mayor;20389
social;18008
público;17908
gran;16693
pasado;16257
mejor;15743
segundo;14658
político;12837
buen;12218
español;11597
alto;10840
posible;10400
grande;10249
nacional;10143
único;10027
importante;9995
sanitario;9661
solo;9565
junto;9512
próximo;9500
económico;9375
menor;9286
europeo;8984
internacional;8641
claro;7957
pequeño;7770
general;7706
principal;7687
necesario;7500
actual;6767
total;6303
electoral;5973
local;5674
igual;5554
real;5407
propio;5401
anterior;5397
tercero;5386
mundial;5256
máximo;5255
seguro;5126
abierto;5032
oficial;5000
estadounidense;4982
positivo;4934
libre;4887
especial;4790
difícil;4776
británico;4768
mismo;4632
bajo;4596
privado;4592
personal;4567
digital;4565
civil;4329
fuerte;4258
cierto;4225
conocido;4207
largo;4096
municipal;4076
siguiente;4014
diferente;3998
judicial;3994
catalán;3950
debido;3945
popular;3942
humano;3929
sexual;3927
duro;3907
militar;3840
llamado;3840
histórico;3783
bueno;3720
pleno;3655
suficiente;3616
autónomo;3592
capaz;3550
fácil;3546
previsto;3522
dicho;3512
central;3470
disponible;3468
laboral;3442
común;3417
antiguo;3372
vasco;3362
superior;3359
legal;3350
joven;3293
valenciano;3287
natural;3245
negro;3192
familiar;3189
médico;3176
semanal;3129
global;3094
blanco;3069
fundamental;3035
ruso;3029
rápido;3006
afectado;3001
cultural;2983
casado;2975
democrático;2952
francés;2943
habitual;2940
regional;2922
directo;2897
diario;2860
activo;2845
normal;2844
relacionado;2837
chino;2807
mínimo;2772
extremo;2768
hecho;2755
completo;2754
similar;2751
físico;2722
socialista;2721
verde;2705
autonómico;2659
realizado;2658
alemán;2615
comercial;2584
profesional;2541
cercano;2536
publicado;2535
reciente;2527
fiscal;2506
cerrado;2502
vacunado;2502
eléctrico;2500
falso;2455
armado;2434
infantil;2434
futuro;2431
previo;2420
viejo;2413
enorme;2412
distinto;2385
policial;2384
final;2347
amplio;2320
rojo;2308
técnico;2304
esencial;2278
responsable;2271
acumulado;2271
presente;2259
famoso;2237
científico;2228
imposible;2216
numeroso;2209
educativo;2206
medio;2186
dirigido;2160
mental;2158
concreto;2116
crítico;2110
supuesto;2109
cuarto;2094
estatal;2094
tercer;2088
interno;2072
urbano;2055
negativo;2025
deportivo;2011
adecuado;2005
informativo;2000
turístico;2000
peligroso;1966
vivo;1958
madrileño;1945
constitucional;1938
presunto;1912
exterior;1907
moderno;1893
verdadero;1888
dispuesto;1883
básico;1880
parlamentario;1880
masivo;1878
efectivo;1873
tradicional;1865
obligatorio;1864
jurídico;1838
buena;1826
detenido;1809
profundo;1806
acompañado;1795
doble;1794
santo;1784
basado;1778
republicano;1771
complicado;1766
